year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author
1889,1.0236220472440944,4,97.95275590551181,1.889763779527559,0.0,0.15748031496062992,0.0,635,237,99.54545454545455
1890,1.0337552742616034,3,97.32770745428974,1.969057665260197,0.7032348804500703,0.0,0.0,711,260,84.31372549019608
1891,1.0259365994236311,4,97.83861671469741,1.8731988472622478,0.1440922190201729,0.1440922190201729,0.0,694,258,98.63945578231292
1892,1.0779411764705882,10,96.76470588235294,2.0588235294117645,0.4411764705882353,0.0,0.7352941176470589,680,283,96.97986577181209
1893,1.0263157894736843,3,97.83281733746131,1.7027863777089782,0.46439628482972134,0.0,0.0,646,242,98.12206572769954
1894,1.0226628895184136,3,97.87535410764872,1.9830028328611897,0.141643059490085,0.0,0.0,706,267,98.14126394052045
1895,1.0296662546353523,3,97.28059332509271,2.4721878862793574,0.24721878862793573,0.0,0.0,809,313,96.78638941398866
1896,1.0552423900789176,4,95.03945885005636,4.509582863585118,0.3382187147688839,0.11273957158962795,0.0,887,322,84.1304347826087
1897,1.0423412204234122,3,96.01494396014944,3.7359900373599,0.24906600249066002,0.0,0.0,803,332,96.05911330049261
1898,1.0577889447236182,5,95.47738693467336,3.64321608040201,0.628140703517588,0.12562814070351758,0.12562814070351758,796,329,93.49397590361446
1899,1.0800524934383202,7,93.83202099737532,5.2493438320209975,0.3937007874015748,0.3937007874015748,0.13123359580052493,762,356,79.24242424242425
1900,1.0399429386590584,3,96.2910128388017,3.4236804564907275,0.28530670470756064,0.0,0.0,701,321,92.06349206349206
1901,1.0479896238651103,4,96.36835278858625,2.9831387808041505,0.1297016861219196,0.5188067444876784,0.0,771,320,91.31652661064426
1902,1.0587155963302752,4,94.6788990825688,4.954128440366972,0.1834862385321101,0.1834862385321101,0.0,545,288,91.2
1903,1.0801479654747226,3,92.47842170160295,7.028360049321825,0.4932182490752158,0.0,0.0,811,324,72.61410788381743
1904,1.063660477453581,7,94.42970822281167,5.305039787798409,0.13262599469496023,0.0,0.13262599469496023,754,349,92.18328840970351
1905,1.0730027548209367,3,93.25068870523415,6.198347107438017,0.5509641873278237,0.0,0.0,726,333,93.82284382284382
1906,1.0749014454664914,3,92.90407358738501,6.701708278580814,0.39421813403416556,0.0,0.0,761,348,85.45727136431785
1907,1.0826558265582655,4,92.6829268292683,6.504065040650406,0.6775067750677507,0.13550135501355012,0.0,738,340,93.08510638297872
1908,1.0642458100558658,4,94.27374301675978,5.167597765363128,0.41899441340782123,0.13966480446927373,0.0,716,336,95.55375909458367
1909,1.0624113475177306,3,94.60992907801419,4.539007092198582,0.851063829787234,0.0,0.0,705,325,90.54842473745624
